iter	Passed	Remaining
0	1	183
1	3	167
2	5	165
3	6	153
4	7	151
5	9	150
6	11	147
7	12	145
8	14	143
9	15	141
10	17	139
11	18	138
12	20	139
13	22	139
14	24	137
15	26	138
16	28	137
17	30	137
18	31	136
19	33	134
20	35	132
21	36	130
22	38	128
23	39	126
24	41	124
25	42	122
26	44	120
27	45	118
28	47	116
29	49	114
30	50	112
31	52	110
32	53	109
33	55	107
34	56	105
35	58	103
36	59	102
37	61	100
38	63	98
39	64	96
40	66	95
41	66	92
42	68	90
43	69	88
44	71	87
45	72	85
46	74	83
47	75	82
48	77	80
49	79	79
50	80	77
51	82	75
52	83	74
53	85	72
54	86	70
55	87	68
56	89	67
57	90	65
58	92	64
59	93	62
60	95	60
61	96	59
62	98	57
63	99	56
64	101	54
65	103	53
66	104	51
67	106	50
68	108	48
69	109	46
70	111	45
71	112	43
72	114	42
73	115	40
74	117	39
75	119	37
76	120	36
77	122	34
78	123	32
79	125	31
80	126	29
81	128	28
82	130	26
83	131	25
84	133	23
85	134	21
86	136	20
87	137	18
88	139	17
89	140	15
90	142	14
91	143	12
92	145	10
93	146	9
94	148	7
95	149	6
96	151	4
97	152	3
98	154	1
99	155	0
