iter	Passed	Remaining
0	195	195167
1	203	101439
2	205	68359
3	213	53192
4	217	43214
5	219	36306
6	223	31770
7	228	28352
8	232	25570
9	239	23728
10	243	21848
11	247	20389
12	251	19096
13	256	18031
14	259	17066
15	266	16359
16	268	15525
17	271	14837
18	277	14349
19	286	14044
20	292	13621
21	295	13149
22	298	12695
23	301	12266
24	305	11927
25	309	11596
26	311	11225
27	316	10993
28	327	10975
29	330	10674
30	340	10635
31	342	10374
32	345	10115
33	347	9868
34	352	9706
35	354	9492
36	357	9310
37	361	9141
38	369	9106
39	375	9006
40	380	8898
41	383	8740
42	386	8605
43	389	8472
44	394	8372
45	397	8237
46	399	8103
47	402	7973
48	406	7886
49	410	7798
50	412	7682
51	415	7576
52	417	7464
53	421	7386
54	424	7293
55	426	7190
56	428	7094
57	433	7043
58	436	6968
59	439	6882
60	441	6801
61	443	6715
62	446	6634
63	450	6585
64	454	6536
65	457	6471
66	460	6417
67	470	6452
68	474	6397
69	481	6402
70	485	6354
71	487	6286
72	489	6218
73	491	6152
74	493	6084
75	498	6056
76	500	5999
77	502	5940
78	504	5882
79	507	5832
80	511	5805
81	514	5754
82	515	5690
83	517	5642
84	519	5593
85	521	5540
86	525	5511
87	527	5463
88	528	5414
89	530	5368
90	532	5321
91	534	5276
92	539	5257
93	542	5230
94	544	5189
95	546	5147
96	548	5105
97	551	5075
98	556	5060
99	559	5032
100	561	4995
101	563	4961
102	565	4927
103	568	4898
104	572	4878
105	574	4843
106	576	4808
107	578	4775
108	580	4743
109	583	4719
110	587	4705
111	589	4676
112	592	4647
113	594	4617
114	595	4585
115	599	4570
116	602	4549
117	612	4574
118	616	4565
119	619	4539
120	621	4514
121	623	4484
122	625	4461
123	629	4444
124	632	4425
125	634	4398
126	635	4367
127	636	4339
128	638	4312
129	640	4284
130	641	4257
131	645	4243
132	647	4222
133	649	4196
134	651	4171
135	652	4146
136	654	4121
137	655	4097
138	658	4077
139	660	4055
140	661	4031
141	662	4005
142	664	3982
143	666	3963
144	668	3940
145	669	3917
146	672	3900
147	676	3892
148	677	3870
149	679	3849
150	680	3828
151	682	3807
152	684	3787
153	685	3766
154	689	3757
155	690	3738
156	692	3718
157	694	3699
158	695	3680
159	697	3661
160	698	3639
161	700	3622
162	702	3608
163	704	3590
164	705	3572
165	707	3555
166	709	3537
167	710	3519
168	712	3502
169	714	3486
170	717	3479
171	719	3463
172	721	3446
173	722	3430
174	724	3414
175	725	3397
176	727	3381
177	729	3367
178	732	3358
179	733	3343
180	735	3328
181	737	3313
182	738	3298
183	740	3284
184	742	3269
185	744	3257
186	747	3249
187	749	3235
188	750	3221
189	752	3207
190	754	3195
191	755	3181
192	758	3169
193	760	3160
194	762	3148
195	764	3135
196	765	3122
197	767	3109
198	769	3098
199	771	3086
